
Predictions were generated on 27-Apr-2026 at 13:06:40 using OpenFAST, compiled on Mar 13 2026 at 19:00:22 as a 64-bit application using single precision at commit v5.0.0
 linked with  NWTC Subroutine Library; ElastoDyn

Description from the FAST input file: FAST Certification Test #18: NREL 5.0 MW Baseline Wind Turbine (Onshore)

Time	ConvIter	ConvError	NumUJac	Q_B1F1	Q_GeAz	Q_TFA1	Q_TSS1	Q_TFA2	Q_TSS2	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	Azimuth	RotSpeed	GenSpeed	TTDspFA	TTDspSS	TTDspTwst	Spn2MLxb1	Spn2MLyb1	RootFxb1	RootFyb1	RootFzb1	RootMxb1	RootMyb1	RootMzb1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt
(s)	(-)	(-)	(-)	(m)	(rad)	(m)	(m)	(m)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)
    0.2125	3.000000	.1205516E-06	.000000	.9507165E-03	4.981693	.000000	.000000	.2783093E-03	.000000	.9518647E-03	-.2138182E-14	.000000	.000000	15.42997	12.10572	1174.255	.2783093E-03	.000000	.000000	6.630266	16.88309	1.447369	-.9096710	16.37698	27.24741	56.16411	-.2206817E-03	27.94019	-913.6279	279.7154	33.62265	-5.246798	-2900.902	41.57133	1964.387	40.19259	-65.87452	-5.246798	-6308.339	501.2006	25.61060	40.18103
    0.2188	3.000000	.1109407E-06	.000000	.1055819E-02	4.989616	.000000	.000000	.2677305E-03	.000000	.1057094E-02	-.2241898E-14	.000000	.000000	15.88393	12.10606	1174.288	.2677305E-03	.000000	.000000	6.838441	18.85594	1.539519	-.9378777	16.37996	28.09738	61.04776	-.2532360E-03	28.81151	-908.1515	288.2255	30.80011	-5.399204	-2900.390	42.95396	1956.152	42.68322	-59.42918	-5.399204	-6307.825	515.9341	223.2256	42.67173
    0.2250	3.000000	.7353425E-07	.000000	.1127350E-02	4.997540	.000000	.000000	.2557602E-03	.000000	.1128711E-02	-.1447637E-14	.000000	.000000	16.33792	12.10641	1174.321	.2557602E-03	.000000	.000000	7.050542	20.19450	1.595634	-.9664493	16.38256	28.96052	64.21922	-.2787491E-03	29.69625	-904.5645	296.8063	27.62773	-5.551062	-2899.818	44.31221	1944.720	44.75499	-52.33620	-5.551062	-6307.250	530.5953	435.7944	44.74368
    0.2313	3.000000	.2710632E-07	.000000	.1128914E-02	5.005463	.000000	.000000	.2425569E-03	.000000	.1130277E-02	.2180231E-14	.000000	.000000	16.79191	12.10676	1174.356	.2425569E-03	.000000	.000000	7.265583	20.22756	1.579584	-.9953098	16.38497	29.83380	63.91098	-.2865849E-03	30.59130	-904.6387	305.4466	24.15180	-5.701836	-2899.201	45.59233	1928.650	45.84109	-44.81237	-5.701836	-6306.629	545.0828	653.0856	45.83006
    0.2375	3.000000	.7162042E-07	.000000	.1047911E-02	5.013387	.000000	.000000	.2282908E-03	.000000	.1049176E-02	.2680334E-15	.000000	.000000	17.24593	12.10713	1174.392	.2282908E-03	.000000	.000000	7.482421	18.72879	1.479348	-1.024378	16.38731	30.71389	59.53057	-.2745278E-03	31.49330	-908.9501	314.1383	20.41804	-5.851236	-2898.549	46.76747	1907.611	45.67877	-36.99599	-5.851236	-6305.974	559.3448	869.7806	45.66811
    0.2438	3.000000	.8615610E-07	.000000	.9000017E-03	5.021311	.000000	.000000	.2131408E-03	.000000	.9010886E-03	.8703890E-15	.000000	.000000	17.69994	12.10751	1174.429	.2131408E-03	.000000	.000000	7.700073	15.99681	1.311345	-1.053598	16.38963	31.59811	51.87204	-.2423088E-03	32.39956	-916.6600	322.8777	16.47058	-5.999348	-2897.869	47.84852	1882.572	44.42188	-28.93084	-5.999348	-6305.291	573.3996	1086.409	44.41169
    0.2500	3.000000	.9333650E-07	.000000	.7236231E-03	5.029236	.000000	.000000	.1972935E-03	.000000	.7244971E-03	.2105866E-14	.000000	.000000	18.15399	12.10790	1174.467	.1972935E-03	.000000	.000000	7.918044	12.75043	1.114769	-1.082943	16.39194	32.48521	42.83942	-.2007619E-03	33.30882	-925.7996	331.6657	12.35278	-6.146597	-2897.163	48.88196	1855.527	42.60609	-20.58597	-6.146597	-6304.583	587.3312	1308.133	42.59646
    0.2563	3.000000	.1161127E-06	.000000	.5665321E-03	5.037161	.000000	.000000	.1809425E-03	.000000	.5672163E-03	.1288889E-14	.000000	.000000	18.60803	12.10830	1174.505	.1809425E-03	.000000	.000000	8.136386	9.876905	.9379488	-1.112423	16.39424	33.37543	34.78186	-.1619437E-03	34.22131	-933.9445	340.5047	8.109154	-6.293622	-2896.433	49.93418	1828.870	40.97315	-11.90378	-6.293622	-6303.849	601.2619	1541.862	40.96413
    0.2625	2.000000	.4939476E-04	.000000	.4691578E-03	5.045086	.000000	.000000	.1642886E-03	.000000	.4697244E-03	-.9291257E-15	.000000	.000000	19.06210	12.10872	1174.545	.1642886E-03	.000000	.000000	8.355600	8.122532	.8215874	-1.142062	16.39653	34.27005	29.67646	-.1359263E-03	35.13835	-939.0478	349.3948	3.787473	-6.441036	-2895.682	51.06799	1804.639	40.21244	-2.858151	-6.441036	-6303.096	615.3085	1792.739	40.20406
    0.2687	3.000000	.6178013E-07	.000000	.4506229E-03	5.053011	.000000	.000000	.1475389E-03	.000000	.4511672E-03	-.8619111E-15	.000000	.000000	19.51620	12.10914	1174.586	.1475389E-03	.000000	.000000	8.576312	7.834495	.7847797	-1.171884	16.39889	35.17047	28.44652	-.1375822E-03	36.06131	-940.1350	358.3307	-.5598063	-6.589211	-2894.917	52.31936	1783.898	40.71120	6.497530	-6.589211	-6302.330	629.5395	2061.239	40.70350
    0.2750	3.000000	.5707884E-09	.000000	.5023332E-03	5.060936	.000000	.000000	.1309056E-03	.000000	.5029399E-03	.6075784E-15	.000000	.000000	19.97030	12.10957	1174.629	.1309056E-03	.000000	.000000	8.798927	8.844499	.8186961	-1.201874	16.40147	36.07718	30.65389	-.1545770E-03	36.99067	-937.6182	367.2990	-4.875751	-6.738115	-2894.152	53.68309	1766.466	42.40517	16.01069	-6.738115	-6301.563	643.9467	2341.926	42.39816
    0.2812	3.000000	.3324192E-07	.000000	.5913476E-03	5.068862	.000000	.000000	.1146021E-03	.000000	.5920618E-03	.4842062E-14	.000000	.000000	20.42442	12.11002	1174.672	.1146021E-03	.000000	.000000	9.023346	10.53428	.8901259	-1.231983	16.40446	36.98904	34.67194	-.1858853E-03	37.92522	-933.1194	376.2786	-9.100488	-6.887323	-2893.401	55.11287	1751.082	44.78830	25.44423	-6.887323	-6300.812	658.4468	2624.283	44.78199
